Location,Z1,Z2,Z3,Z4,Z5,Z6,Z7,Z8,Z9,Z10,Z11,Z12,Z13,Z14,Z15,Z16,Z17,Z18,Z19,Z20,Z21,Z22
1/3/20 6:00,0.837420,0.721140,0.698190,0.689520,0.634950,0.715530,0.414885,0.573750,0.771120,0.711960,0.409020,0.302940,0.192100,0.379100,0.082620,0.262650,0.005100,0.402390,0.121890,0.115770,0.100980,0.091460
1/3/20 7:00,0.699720,0.589560,0.519180,0.451860,0.355470,0.411060,0.175185,0.560490,0.603075,0.625515,0.246075,0.380460,0.158100,0.324020,0.093160,0.152490,0.026520,0.246330,0.098430,0.119340,0.099280,0.109480
1/3/20 8:00,0.334560,0.229160,0.243525,0.246840,0.124440,0.174420,0.080325,0.817020,0.491895,0.611235,0.205275,0.392700,0.082280,0.166600,0.105740,0.106845,0.048960,0.122400,0.083640,0.137190,0.096220,0.142460
1/3/20 9:00,0.345780,0.172720,0.223635,0.829260,0.149940,0.174420,0.077520,0.808350,0.573750,0.530910,0.175185,0.346800,0.066640,0.139060,0.110840,0.217260,0.048960,0.107100,0.077520,0.169320,0.099620,0.223040
1/3/20 10:00,0.600780,0.246840,0.149685,0.963900,0.295290,0.086190,0.016320,0.679830,0.645915,0.405195,0.135150,0.269280,0.068000,0.171700,0.126820,0.256020,0.049980,0.128010,0.075480,0.214710,0.113900,0.330480
1/3/20 11:00,0.477360,0.244800,0.134130,0.975120,0.379440,0.052020,0.011475,0.566100,0.641070,0.319260,0.148665,0.187680,0.071740,0.219300,0.140420,0.222870,0.063240,0.181050,0.072420,0.263670,0.137700,0.437920
1/3/20 12:00,0.440640,0.257380,0.148920,0.973080,0.399840,0.061710,0.021420,0.476340,0.590580,0.295800,0.170085,0.130560,0.078880,0.266900,0.163880,0.174420,0.108120,0.255000,0.074970,0.308040,0.177820,0.554200
1/3/20 13:00,0.454920,0.272340,0.184110,0.961860,0.392700,0.086700,0.032895,0.403920,0.536775,0.291975,0.161160,0.098940,0.083300,0.304300,0.202300,0.131580,0.200940,0.329970,0.089760,0.357510,0.254320,0.693260
1/3/20 14:00,0.451860,0.279820,0.218790,0.935340,0.370260,0.115770,0.041820,0.350370,0.492660,0.282795,0.143310,0.080580,0.090440,0.317560,0.241060,0.098430,0.318240,0.375360,0.125970,0.427890,0.392020,0.804440
1/3/20 15:00,0.424320,0.289340,0.258825,0.882300,0.349350,0.150450,0.056865,0.293760,0.451350,0.269535,0.130815,0.064770,0.097580,0.314160,0.257040,0.080325,0.410040,0.378930,0.179520,0.502350,0.544000,0.857140
1/3/20 16:00,0.396780,0.298520,0.301920,0.806820,0.341700,0.172890,0.078540,0.232050,0.409020,0.250410,0.121125,0.049470,0.099620,0.307360,0.268600,0.092055,0.504900,0.371790,0.265200,0.579360,0.671160,0.877880
1/3/20 17:00,0.384540,0.292060,0.343740,0.742560,0.331500,0.184110,0.111690,0.199410,0.359805,0.213180,0.110925,0.032640,0.093500,0.305320,0.264520,0.109905,0.591600,0.372810,0.351390,0.652800,0.784720,0.879580
1/3/20 18:00,0.421260,0.270300,0.366435,0.721140,0.310080,0.177990,0.144840,0.217770,0.311100,0.157080,0.070380,0.022440,0.112880,0.286960,0.286620,0.158610,0.645660,0.367710,0.443190,0.714000,0.874480,0.867000
1/3/20 19:00,0.506940,0.233580,0.341955,0.718080,0.279990,0.133110,0.121890,0.349350,0.292485,0.093330,0.027030,0.049470,0.193460,0.246160,0.301240,0.242760,0.547740,0.340170,0.528870,0.754290,0.924460,0.844900
1/3/20 20:00,0.693600,0.210120,0.307020,0.824160,0.262650,0.054060,0.073950,0.663000,0.363375,0.042330,0.019125,0.122910,0.207060,0.252620,0.252960,0.282540,0.454920,0.279480,0.572730,0.769590,0.939760,0.831640
1/3/20 21:00,0.808860,0.190060,0.302685,0.909840,0.246330,0.013770,0.087975,0.824160,0.506940,0.040035,0.024480,0.186150,0.237320,0.297160,0.260440,0.345780,0.336600,0.262650,0.576810,0.793050,0.945540,0.847620
1/3/20 22:00,0.807840,0.207060,0.322065,0.925140,0.310080,0.002550,0.146115,0.887400,0.696405,0.107100,0.041310,0.303960,0.242080,0.362780,0.287980,0.424320,0.226440,0.269280,0.554370,0.829260,0.947580,0.865640
1/3/20 23:00,0.714000,0.282880,0.350880,0.926160,0.453390,0.007140,0.228735,0.916980,0.866235,0.203745,0.080835,0.490620,0.300220,0.406640,0.310420,0.470730,0.150960,0.302430,0.517650,0.863430,0.948940,0.877880
1/4/20 0:00,0.559980,0.343400,0.369240,0.930240,0.590070,0.066810,0.310845,0.924630,0.932535,0.293760,0.137190,0.636480,0.281180,0.401880,0.328440,0.525045,0.124440,0.397290,0.485520,0.887400,0.945540,0.892840
1/4/20 1:00,0.474300,0.354280,0.391680,0.927180,0.779280,0.231030,0.381990,0.916980,0.946560,0.441660,0.179265,0.689520,0.258060,0.400860,0.359720,0.593895,0.128520,0.600780,0.458490,0.900660,0.947920,0.922760
1/4/20 2:00,0.510000,0.336260,0.452625,0.915960,0.906780,0.418710,0.434265,0.896580,0.934830,0.629085,0.200430,0.676770,0.226780,0.446080,0.323000,0.654330,0.132600,0.741030,0.448290,0.909840,0.947920,0.914940
1/4/20 3:00,0.644640,0.310420,0.496995,0.921060,0.934830,0.568140,0.487560,0.891480,0.922590,0.768315,0.218025,0.627810,0.213520,0.483140,0.316200,0.709920,0.130560,0.774180,0.444720,0.918510,0.954040,0.908820
1/4/20 4:00,0.781320,0.331500,0.532185,0.923100,0.935850,0.696660,0.565335,0.889440,0.909075,0.856290,0.253215,0.585480,0.271660,0.580040,0.317220,0.740775,0.143820,0.778770,0.430950,0.923100,0.952340,0.905760
1/4/20 5:00,0.858840,0.470900,0.590070,0.910860,0.921570,0.775710,0.659430,0.878730,0.889950,0.894540,0.336345,0.562020,0.408680,0.722500,0.358360,0.749445,0.196860,0.777240,0.408000,0.926160,0.952680,0.893180
1/4/20 6:00,0.890460,0.624920,0.679065,0.884340,0.911880,0.792540,0.726750,0.864960,0.864450,0.895560,0.516120,0.501840,0.470220,0.771460,0.355640,0.697170,0.226440,0.750210,0.392700,0.928710,0.949620,0.881960
1/4/20 7:00,0.795600,0.607920,0.773515,0.758880,0.824670,0.623730,0.555135,0.906270,0.772905,0.756075,0.557430,0.498780,0.386240,0.646473,0.244120,0.429420,0.147900,0.684420,0.396270,0.931770,0.937040,0.863600
1/4/20 8:00,0.660960,0.527000,0.818295,0.910860,0.934830,0.431970,0.273360,0.967470,0.951150,0.931260,0.346800,0.478380,0.609280,0.824160,0.361420,0.339405,0.194820,0.721650,0.398310,0.937380,0.931600,0.853060
1/4/20 9:00,0.906780,0.524280,0.855780,0.963900,0.961550,0.432990,0.310335,0.932790,0.983480,0.997095,0.536520,0.370770,0.696660,0.973213,0.639333,0.606390,0.180540,0.716040,0.401880,0.945030,0.923780,0.856460
1/4/20 10:00,0.944520,0.493000,0.853740,0.937380,0.946050,0.436560,0.352155,0.837930,0.971805,1.000000,0.695640,0.257040,0.668780,0.982393,0.829733,0.763725,0.102000,0.638010,0.417690,0.949620,0.921740,0.862240
1/4/20 11:00,0.928200,0.485520,0.817275,0.874140,0.907800,0.482970,0.366945,0.685440,0.939420,0.999390,0.796365,0.160140,0.618800,0.973553,0.919153,0.853740,0.039780,0.578340,0.452880,0.951150,0.910520,0.877200
1/4/20 12:00,0.882300,0.480080,0.798915,0.772140,0.870570,0.604860,0.490365,0.503880,0.886890,0.994190,0.840735,0.086190,0.548080,0.965733,0.933093,0.863430,0.089760,0.599760,0.517140,0.950640,0.901000,0.895220
1/4/20 13:00,0.802740,0.484160,0.833595,0.638520,0.833850,0.735930,0.719355,0.342720,0.813705,0.981750,0.867000,0.045900,0.463760,0.959273,0.929693,0.778005,0.228480,0.645150,0.619650,0.955230,0.923440,0.921400
1/4/20 14:00,0.710940,0.496400,0.850170,0.527340,0.808350,0.821610,0.887400,0.228990,0.730830,0.959310,0.938145,0.027540,0.354960,0.935340,0.940233,0.849660,0.435540,0.711450,0.734910,0.967470,0.968453,0.943160
1/4/20 15:00,0.635460,0.468180,0.835635,0.466140,0.787950,0.853230,0.956760,0.150960,0.653820,0.934320,0.960585,0.022440,0.259420,0.897600,0.884680,0.749190,0.624240,0.763980,0.821100,0.979200,0.993613,0.934320
1/4/20 16:00,0.618120,0.419560,0.843540,0.402900,0.768060,0.865470,0.979965,0.104550,0.605115,0.912900,0.952680,0.021420,0.194820,0.875840,0.730660,0.545955,0.745620,0.788460,0.875670,0.987360,0.999867,0.833680
1/4/20 17:00,0.667080,0.373660,0.871845,0.339660,0.734400,0.875670,0.987970,0.087720,0.571965,0.895305,0.948600,0.023970,0.151300,0.843880,0.660620,0.439365,0.804780,0.787950,0.913410,0.992970,1.000000,0.737593
1/4/20 18:00,0.718080,0.378760,0.907290,0.297840,0.712470,0.909330,0.994190,0.095370,0.555645,0.880005,0.926670,0.038760,0.127840,0.786760,0.618800,0.535500,0.803760,0.774690,0.935850,0.997050,1.000000,0.991367
1/4/20 19:00,0.710940,0.469540,0.951150,0.346800,0.744600,0.955740,0.998880,0.193800,0.577065,0.863685,0.846445,0.091290,0.199580,0.786760,0.462740,0.632145,0.712980,0.767550,0.948600,0.999800,1.000000,0.772480
1/4/20 20:00,0.617100,0.558960,0.980730,0.598740,0.844560,0.971550,0.999545,0.498780,0.708135,0.889440,0.722925,0.170850,0.352240,0.852040,0.666740,0.686205,0.645660,0.822630,0.953190,1.000000,0.999867,0.937380
1/4/20 21:00,0.441660,0.569500,0.983890,0.708900,0.874140,0.969510,0.998780,0.743580,0.771375,0.887400,0.741795,0.207570,0.438940,0.852040,0.652933,0.674985,0.470220,0.833850,0.951660,1.000000,0.992593,0.999187
1/4/20 22:00,0.269280,0.517273,0.998115,0.684420,0.854250,0.993680,0.999390,0.843540,0.783870,0.857055,0.695385,0.292230,0.440300,0.807293,0.642600,0.547485,0.375360,0.824160,0.945540,1.000000,0.861693,0.999867
1/4/20 23:00,0.167280,0.698493,1.000000,0.603840,0.844560,0.998780,0.999390,0.865980,0.779025,0.789225,0.632400,0.444210,0.474300,0.634913,0.544340,0.410805,0.243780,0.841500,0.931770,1.000000,0.815587,0.997147
1/5/20 0:00,0.116280,0.915073,0.999645,0.514080,0.858840,0.998780,0.998015,0.862410,0.760155,0.673455,0.483225,0.579360,0.545020,0.465120,0.441320,0.316710,0.226440,0.867000,0.916470,1.000000,0.963147,0.989533
1/5/20 1:00,0.087720,0.972533,0.995365,0.517140,0.880260,0.989400,0.995110,0.844050,0.719865,0.543150,0.401880,0.702780,0.545700,0.433500,0.414800,0.251175,0.257040,0.846600,0.904230,1.000000,0.859787,0.979880
1/5/20 2:00,0.154020,0.979880,0.984555,0.672180,0.878220,0.982260,0.991440,0.809880,0.657135,0.483990,0.377400,0.760410,0.453560,0.558280,0.459340,0.230775,0.313140,0.842520,0.894030,1.000000,0.789273,0.981713
1/5/20 3:00,0.436560,0.964240,0.972825,0.763980,0.848640,0.974610,0.984300,0.759390,0.618120,0.464865,0.381990,0.758370,0.317560,0.692240,0.507620,0.224910,0.391680,0.818550,0.886890,1.000000,0.742013,0.987153
1/5/20 4:00,0.734400,0.946220,0.961605,0.790500,0.828240,0.960840,0.976650,0.719610,0.599760,0.451860,0.399585,0.747150,0.281180,0.717400,0.527340,0.235620,0.431460,0.802740,0.878220,1.000000,0.704480,0.988853
1/5/20 5:00,0.886380,0.936700,0.950385,0.759900,0.820080,0.941970,0.970530,0.706350,0.590070,0.415140,0.397290,0.730830,0.302940,0.694280,0.549440,0.207315,0.485520,0.764490,0.858330,1.000000,0.736780,0.987833
1/5/20 6:00,0.914940,0.932960,0.950130,0.658920,0.808350,0.921060,0.965175,0.674220,0.550035,0.341445,0.380970,0.657390,0.315180,0.684420,0.583100,0.137955,0.439620,0.690030,0.828240,0.990110,0.804440,0.976140
1/5/20 7:00,0.889440,0.943160,0.967215,0.600780,0.825690,0.923610,0.969355,0.585480,0.467160,0.240720,0.413610,0.623220,0.297500,0.671160,0.551480,0.096645,0.357000,0.551820,0.803250,0.959820,0.882980,0.931260
1/5/20 8:00,0.822120,0.905420,0.973590,0.466140,0.672180,0.924120,0.963845,0.622200,0.341955,0.232305,0.400605,0.517650,0.242420,0.614040,0.438940,0.088740,0.441660,0.399330,0.783870,0.890460,0.904740,0.830620
1/5/20 9:00,0.596700,0.826880,0.966705,0.187680,0.490620,0.936360,0.963845,0.648210,0.246075,0.304215,0.315945,0.365160,0.154700,0.548080,0.319260,0.089505,0.321300,0.351900,0.735420,0.719100,0.890120,0.699720
1/5/20 10:00,0.298860,0.705500,0.937890,0.054060,0.412080,0.935850,0.971750,0.485010,0.212160,0.407235,0.192525,0.223890,0.098600,0.488580,0.249900,0.101490,0.115260,0.396780,0.683910,0.484500,0.855780,0.613020
1/5/20 11:00,0.103020,0.512380,0.858330,0.013260,0.320280,0.881280,0.967470,0.259080,0.193545,0.531930,0.135915,0.109650,0.066980,0.439620,0.227460,0.150960,0.032640,0.414120,0.643620,0.301920,0.828240,0.618800
1/5/20 12:00,0.003060,0.324360,0.753525,0.006120,0.267750,0.763980,0.937380,0.105570,0.202215,0.631125,0.120105,0.033660,0.060520,0.416160,0.280500,0.255510,0.053040,0.399330,0.610470,0.189720,0.827900,0.714680
1/5/20 13:00,0.000000,0.191420,0.710175,0.003060,0.301410,0.685440,0.903210,0.042840,0.231540,0.678555,0.148665,0.017850,0.080580,0.411400,0.452200,0.381735,0.226440,0.422790,0.587520,0.137190,0.853740,0.836060
1/5/20 14:00,0.000000,0.192440,0.658920,0.001020,0.422790,0.690540,0.898875,0.026010,0.267750,0.709410,0.215475,0.031110,0.146880,0.406980,0.656540,0.474555,0.502860,0.510000,0.564060,0.157590,0.904740,0.913920
1/5/20 15:00,0.000000,0.316200,0.649995,0.000000,0.592620,0.676260,0.883830,0.034170,0.352155,0.756840,0.326910,0.057120,0.269960,0.437920,0.769760,0.441405,0.693600,0.593640,0.524790,0.278970,0.953360,0.935340
1/5/20 16:00,0.067320,0.503880,0.719610,0.000000,0.711960,0.687990,0.865980,0.063750,0.442680,0.774435,0.418455,0.095880,0.415820,0.651100,0.853740,0.322065,0.784380,0.639540,0.488070,0.496230,0.980220,0.913580
1/5/20 17:00,0.410040,0.705160,0.823650,0.006120,0.794580,0.756330,0.873630,0.116280,0.507195,0.769590,0.463335,0.156570,0.590240,0.859180,0.827900,0.245310,0.799680,0.677790,0.451860,0.703800,0.990213,0.846260
